SYSTEM_TIME_time_unix_usec,SYSTEM_TIME_millis,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU1_mx,IMU1_my,IMU1_mz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU2_mx,IMU2_my,IMU2_mz,ATTITUDE_roll_rate,ATTITUDE_pitch_rate,ATTITUDE_yaw_rate,ATTITUDE_roll,ATTITUDE_pitch,ATTITUDE_yaw,INS_x,INS_y,INS_z,INS_vx,INS_vy,INS_vz,GPS_lat,GPS_lon,GPS_alt,GPS_relative_alt,GPS_vx,GPS_vy,GPS_vz,GPS_hdg,GPS_RAW_INT_speed,GPS_RAW_INT_latitude,GPS_RAW_INT_longitude,GPS_RAW_INT_altitude,GPS_RAW_INT_course,GPS_RAW_INT_hdop,GPS_RAW_INT_vdop,GPS_RAW_INT_fix,GPS_RAW_INT_sat_view,VFR_HUD_airspeed,VFR_HUD_groundspeed,VFR_HUD_heading,VFR_HUD_throttle,VFR_HUD_barometer,VFR_HUD_climb,SCALED_PRESSURE_press_abs,SCALED_PRESSURE_press_diff,SCALED_PRESSURE_temp,NAV_CTRL_OUT_desired_roll,NAV_CTRL_OUT_desired_pitch,NAV_CTRL_OUT_desired_heading,NAV_CTRL_OUT_target_bearing,NAV_CTRL_OUT_wp_dist,NAV_CTRL_OUT_alt_error,NAV_CTRL_OUT_aspd_error,NAV_CTRL_OUT_xtrack_error,GPS_STATUS_satellite_snr
2016-11-06 19:02:31.040000,1478466151040000,172,-25,-1062,-432,80,265,-58,-283,-275,6,-45,-1008,-432,80,265,-58,-283,-275,-26.21112243994344,8.771013035881262,15.7230391203087,39.63636639514937,14.504442872371923,134.44743803776862,167.45925903320312,-243.36801147460938,-158.406005859375,-7.0726189613342285,17.5783748626709,-4.640507698059082,-226055970,-434090566,168770,158400,-612,1894,502,13707,1991,-226055812,-434091033,162750,10789,121,200,3,10,21.068199157714844,20.96242904663086,134,22,167.97000122070312,4.532489776611328,993.7431030273438,-18.255859375,2888,25.18000030517578,8.40999984741211,134,103,218,-8.199999809265137,-488.3182373046875,52.463722229003906,
2016-11-06 19:02:31.280000,1478466151280000,0,19,-896,-373,-10,244,-69,-255,-298,-40,-33,-841,-372,-10,244,-69,-255,-298,-22.260231957948122,0.5059964219704118,14.243183013977058,32.52177839338105,12.616922656559838,139.5147553830011,165.71827697753906,-239.27191162109375,-159.5225830078125,-7.500221252441406,16.455402374267578,-4.127497673034668,-226056127,-434090168,169890,159519,-681,1773,481,14023,1899,-226055907,-434090689,163740,11101,121,200,3,10,20.51521110534668,18.99286651611328,139,9,169.6199951171875,5.462913990020752,993.6083984375,-18.390546798706055,2887,22.469999313354492,6.980000019073486,134,103,215,-9.15999984741211,-451.52093505859375,51.01285934448242,
2016-11-06 19:02:31.780000,1478466151780000,-69,40,-631,-226,-116,202,-104,-195,-332,-84,-22,-673,-227,-115,202,-104,-195,-332,-13.821499941225165,-6.194424916784209,11.779168365232863,24.5239496017344,7.994025230052597,144.46365090840388,163.29168701171875,-234.20486450195312,-160.78016662597656,-7.7071709632873535,15.233541488647461,-3.1350224018096924,-226056345,-434089675,171150,160780,-741,1583,385,14344,1747,-226056174,-434090002,165500,11508,121,200,3,10,19.252241134643555,17.478473663330078,144,5,171.52999877929688,3.449997901916504,993.4035034179688,-18.595468521118164,2886,17.75,3.18999981880188,134,102,206,-11.09999942779541,-325.22412109375,47.20521545410156,
2016-11-06 19:02:32.280000,1478466152280000,-95,-18,-673,-142,-129,172,-142,-151,-341,-95,-17,-673,-142,-129,172,-142,-151,-341,-8.480150283849914,-7.553030651196139,9.993902057711392,19.46878999322456,2.6037859323720434,148.14286890861464,158.3721923828125,-225.10655212402344,-162.19676208496094,-7.83014440536499,13.42676067352295,-0.8362159729003906,-226056787,-434088789,172560,162190,-755,1392,167,14828,1584,-226056575,-434089163,167180,11845,121,200,3,10,18.395530700683594,15.844473838806152,148,0,172.5399932861328,2.438401937484741,993.2776489257812,-18.72132682800293,2885,14.269999504089355,0.29999998211860657,134,102,198,-12.149999618530273,-239.55307006835938,43.3233528137207,
2016-11-06 19:02:32.780000,1478466152780000,-91,-13,-758,-108,-94,146,-173,-116,-340,-91,-13,-758,-108,-94,146,-173,-116,-340,-6.330656027987875,-5.741648688496302,8.511165319097296,15.877418471023914,-1.973912930746049,151.52490537803814,155.89598083496094,-220.95687866210938,-162.3420867919922,-7.857165813446045,12.709080696105957,0.207559272646904,-226057009,-434088386,172710,162340,-755,1342,93,15045,1502,-226056842,-434088668,167560,12021,121,200,3,10,17.775571823120117,15.0211181640625,151,0,172.66000366210938,0.005974769126623869,993.28076171875,-18.718202590942383,2885,11.389999389648438,-1.8299999237060547,134,101,191,-12.300000190734863,-177.55718994140625,39.433006286621094,
2016-11-06 19:02:33.280000,1478466153280000,-81,-7,-862,-102,-45,121,-194,-86,-338,-81,-7,-861,-103,-45,120,-194,-86,-338,-5.716995547573964,-3.0109164333235783,7.019524575126443,12.680282052621815,-5.002465552836835,154.765420327859,150.90101623535156,-213.31008911132812,-161.75433349609375,-8.107548713684082,11.495150566101074,1.6771808862686157,-226057458,-434087641,172120,161750,-774,1178,-139,15464,1409,-226057262,-434087944,167170,12330,121,200,3,10,17.39374542236328,14.095246315002441,154,0,172.08999633789062,-1.621608853340149,993.3663330078125,-18.63265609741211,2885,8.319999694824219,-2.879999876022339,134,100,185,-11.75,-139.37454223632812,35.489253997802734,
2016-11-06 19:02:33.780000,1478466153780000,-78,5,-954,-205,-4,92,-203,-51,-340,-78,5,-954,-205,-4,92,-203,-51,-340,-11.001736597108147,-0.5551246920098442,5.481679308967746,8.318621432620992,-6.384059569560913,157.71710023805835,148.3338165283203,-209.76414489746094,-161.15408325195312,-8.322582244873047,10.993712425231934,2.0909459590911865,-226057688,-434087296,171520,161150,-785,1144,-177,15658,1369,-226057548,-434087485,166470,12573,121,200,3,10,17.38928985595703,13.698699951171875,157,0,171.0800018310547,-1.6190433502197266,993.4934692382812,-18.505468368530273,2886,1.3199999332427979,-3.119999885559082,129,99,178,-10.760000228881836,-138.92898559570312,31.42494773864746,
2016-11-06 19:02:34.280000,1478466154280000,-82,25,-996,-236,8,32,-204,-6,-343,-81,25,-996,-236,8,32,-204,-6,-343,-13.406348236867094,0.3427945746012313,2.238684360147947,1.6774288263060761,-6.51143576739248,159.69463124807382,142.98948669433594,-203.05990600585938,-159.67677307128906,-8.730208396911621,10.347264289855957,2.368457317352295,-226058168,-434086644,170040,159670,-832,1059,-238,15954,1340,-226057986,-434086837,165080,12912,121,200,3,10,17.448715209960938,13.406401634216309,159,0,169.89999389648438,-2.4025344848632812,993.6393432617188,-18.359609603881836,2887,-5.440000057220459,-2.9600000381469727,123,98,173,-9.569999694824219,-144.87152099609375,27.194856643676758,
2016-11-06 19:02:34.780000,1478466154780000,-83,37,-1012,-208,20,-25,-202,33,-342,-83,37,-1012,-208,20,-25,-202,33,-342,-12.067677263321494,0.9735040876375671,-1.1973256514791826,-4.8519064123017746,-6.184928819403776,159.88033043122812,140.23678588867188,-199.80162048339844,-158.89309692382812,-8.837210655212402,10.28305721282959,2.367971658706665,-226058416,-434086327,169260,158890,-858,1027,-247,16001,1340,-226058292,-434086456,164090,13036,121,200,3,10,17.780330657958984,13.400988578796387,159,0,168.6699981689453,-2.530669927597046,993.7631225585938,-18.235858917236328,2888,-10.9399995803833,-2.379999876022339,117,97,167,-8.34999942779541,-178.03306579589844,22.8538875579834,
2016-11-06 19:02:35.280000,1478466155280000,-83,47,-1029,-163,35,-69,-199,62,-340,-83,47,-1029,-163,35,-69,-199,62,-340,-9.616541790031004,1.8390578892167289,-3.8294595369494235,-10.170998617606068,-5.6239623946628665,158.4821907081265,134.68247985839844,-193.1923065185547,-157.33934020996094,-8.813867568969727,10.699935913085938,2.2740371227264404,-226058915,-434085684,167700,157330,-876,1033,-240,15887,1367,-226058749,-434085844,162630,12989,121,200,3,10,17.87087059020996,13.673074722290039,158,0,167.47000122070312,-2.564850091934204,993.9271850585938,-18.071796417236328,2889,-15.00999927520752,-1.909999966621399,111,96,161,-7.149999618530273,-187.08706665039062,18.490079879760742,
